FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
redwhiteconnect.xyz,213.199.34.17,521.812459000008,32,48170000000,18416061152,0,joined,13,13,57,52,5,0,17,N/A,", FR",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
coinhunterscommunity.xyz,49.13.202.133,566.0731659999874,32,42500000000,1995067271,0,joined,3,0,57,54,3,0,20,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.alwaysbedream.dev,84.46.242.37,549.4804590000131,29,41888250000,33802060273,0,joined,10,10,57,53,4,0,12,N/A,"Düsseldorf, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
jembutkucing.xyz,138.201.139.121,592.7040830000187,29,40000000000,24411407959,0,joined,13,13,57,56,1,0,20,N/A,"St. Ingbert, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
zigza.xyz,142.4.54.138,259.959542000026,32,38114285709,259623429691,0,joined,23,18,57,57,0,0,57,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
mulosbron.xyz,46.250.254.140,610.0437919999822,29,37972589255,6494858453,0,joined,6,6,57,56,1,0,20,N/A,"London, GB",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.aosphere.xyz,145.223.102.2,552.0616250000021,29,37759750000,142146860128,0,joined,14,9,57,56,1,0,31,N/A,", NL",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
bobinstein.com,67.255.46.239,548.260500000004,32,37049249000,34565310152,0,joined,5,2,57,54,3,0,36,N/A,"Constantia, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
codehodl.xyz,45.90.120.198,561.2066670000204,29,36932993397,25239853360,0,joined,5,3,57,55,2,0,39,N/A,"Los Angeles, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
hexamz.site,134.122.91.9,566.7285419999971,32,33125000000,20007401670,0,joined,6,6,57,56,1,0,20,N/A,"Frankfurt am Main, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
kuantum.cloud,95.217.83.224,855.840084000025,29,30000000000,15613391777,0,joined,10,10,57,56,1,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
fromartoao.xyz,157.180.21.4,1625.6256660000072,32,28167750000,38984881547,0,joined,10,9,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
